hex_id,hs22
1,50
1,292
1,148
1,266
1,117
1,18
1,244
1,31
1,90
1,13
1,920
1,82
1,4
1,35
1,102
1,124
1,140
1,106
1,9
1,87
1,136
1,280
1,25
1,34
1,689
1,296
1,20
1,208
1,100
1,243
1,53
1,16
1,30
1,442
1,8
1,320
1,115
1,2
1,20
1,696
1,32
1,20
1,238
1,106
1,272
1,34
1,165
1,68
1,65
1,10
1,106
1,32
1,188
1,256
1,571
1,100
1,15
1,628
1,9
1,69
1,7
1,84
1,134
1,120
1,128
1,53
1,165
1,234
1,267
1,163
1,14
1,11
1,43
1,53
1,23
1,12
1,116
1,26
1,234
1,10
1,425
1,88
1,124
1,30
1,61
1,202
1,82
1,18
1,104
1,122
1,12
1,45
1,129
1,311
1,83
1,613
1,34
1,132
1,69
1,24
1,9
1,62
1,77
1,47
1,9
1,32
1,275
1,56
1,97
1,24
1,173
1,77
1,165
1,84
1,262
1,39
1,40
1,136
1,275
1,67
1,491
1,21
1,146
1,96
1,65
1,3
1,12
1,39
1,12
1,272
1,86
1,6
1,115
1,36
1,63
1,297
1,10
1,954
1,56
1,172
1,91
1,96
1,326
1,254
1,47
1,18
1,6
1,98
1,16
1,58
1,61
1,16
1,265
1,165
1,14
1,1
1,975
1,38
1,92
1,2
1,45
1,96
1,124
1,52
1,68
1,92
1,348
1,47
1,160
1,12
1,2
1,77
1,136
1,122
1,44
1,132
1,16
1,321
1,42
1,280
1,80
1,109
1,115
1,4
1,128
1,6
1,40
1,141
1,237
1,167
1,41
1,25
1,1
1,88
1,182
1,4
1,2
1,23
1,344
1,15
1,59
1,56
1,16
1,29
1,32
1,17
1,660
1,343
1,108
1,107
1,43
1,140
1,124
1,20
1,113
1,349
1,11
1,59
1,14
1,114
1,144
1,677
1,32
1,196
1,30
1,102
1,6
1,228
1,136
1,63
1,141
1,53
1,211
1,106
1,3
1,35
1,44
1,259
1,8
1,638
1,161
1,602
1,400
1,17
1,40
1,44
1,85
1,48
1,12
1,12
1,32
1,351
1,339
1,47
1,14
1,74
1,40
1,53
1,26
1,8
1,99
1,26
1,4
1,184
1,28
1,162
1,197
1,27
1,704
1,43
1,247
1,109
1,17
1,158
1,265
1,3
1,114
1,42
1,233
1,74
1,114
1,203
1,231
1,209
1,94
1,7
1,127
1,77
1,15
1,319
1,17
1,128
1,5
1,8
1,210
1,98
1,5
1,2
1,7
1,133
1,51
1,102
1,59
1,45
1,2
1,141
1,687
1,6
1,46
1,243
1,62
1,74
1,46
1,35
1,4
1,89
1,160
1,229
1,754
1,77
1,25
1,82
1,20
1,36
1,17
1,148
1,68
1,54
1,343
1,205
1,54
1,120
1,91
1,98
1,19
1,21
1,17
1,449
1,18
1,23
1,62
1,24
1,368
1,200
1,434
1,79
1,169
1,68
1,165
1,29
1,104
1,37
1,84
1,2
1,58
1,290
1,28
1,9
1,243
1,133
1,11
1,6
1,14
1,164
1,4
1,100
1,75
1,13
1,78
1,126
1,265
1,20
1,117
1,110
1,13
1,225
1,9
1,109
1,64
1,89
1,110
1,44
1,74
1,7
1,3
1,23
1,44
1,118
1,24
1,20
1,408
1,68
1,142
1,181
1,11
1,22
1,350
1,11
1,19
1,32
1,126
1,75
1,352
1,282
1,63
1,31
1,84
1,72
1,94
1,22
1,59
1,1
1,347
1,70
1,147
1,70
1,55
1,42
1,7
1,115
1,24
1,1
1,216
1,108
1,16
1,42
1,191
1,126
1,52
1,164
1,123
1,28
1,99
1,74
1,31
1,56
1,35
1,42
1,43
1,177
1,27
1,46
1,3
1,230
1,120
1,77
1,14
1,78
1,59
1,367
1,4
1,250
1,146
1,57
1,7
1,40
1,346
1,4
1,3
1,55
1,36
1,80
1,97
1,157
1,9
1,246
1,178
1,78
1,50
1,21
1,20
1,156
1,120
1,52
1,22
1,170
1,215
1,132
1,20
1,116
1,151
1,21
1,45
1,392
1,64
1,142
1,32
1,35
1,337
1,484
1,119
1,9
1,9
1,39
1,1
1,5
1,3
1,207
1,79
1,12
1,136
1,78
1,168
1,178
1,93
1,22
1,65
1,291
1,75
1,133
1,170
1,71
1,125
1,73
1,311
1,3
1,228
1,215
1,224
1,1
1,321
1,190
1,17
1,130
1,84
1,139
1,88
1,32
1,235
1,156
1,740
1,2
1,387
1,2
1,252
1,86
1,158
1,231
1,69
1,188
1,80
1,183
1,49
1,44
1,63
1,76
1,15
1,273
1,28
1,378
1,2
1,52
1,26
1,30
1,4
1,208
1,24
1,152
1,72
1,173
1,51
1,713
1,9
1,178
1,253
1,192
1,28
1,808
1,297
1,3
1,12
1,50
1,3
1,272
1,30
1,2
1,44
1,79
1,39
1,42
1,135
1,35
1,81
1,204
1,24
1,44
1,22
1,6
1,87
1,60
1,9
1,135
1,118
1,22
1,73
1,203
1,100
1,220
1,8
1,50
1,106
1,90
1,121
1,47
1,47
1,35
1,95
1,61
1,184
1,40
1,163
1,25
1,300
1,125
1,164
1,249
1,29
1,163
1,50
1,316
1,130
1,97
1,29
1,68
1,34
1,521
1,42
1,36
1,47
1,135
1,40
1,48
1,171
1,27
1,96
1,253
1,55
1,190
1,5
1,31
1,355
1,6
1,73
1,132
1,28
1,148
1,1
1,39
1,73
1,68
1,15
1,205
1,127
1,128
1,45
1,5
1,47
1,120
1,26
1,243
1,73
1,326
1,611
